Biomes,Materials,Slope Min,Slope Max,Height Min,Height Max,Type,Subtype,Density,MaxRoll,Latitude min,Latitude Max,Longitude Min,Longitude Max
130,Snow,0,10,0,0.5,Gatherable,StoneLargeSnowy,0.023,,,,,
130,Snow,10,25,0,0.5,Gatherable,StoneLargeSnowy,0.001,,,,,
135,Snow,0,30,0,0.3,Gatherable,HazelLargeBranchless,0.05,,,,,
135,Snow,0,30,0,0.3,Gatherable,HazelMediumBranchless,0.07,,,,,
135,Snow,0,30,0,0.3,Tree,SpruceTreeMedium4m_Snowy,0.018,,,,,
135,Snow,0,30,0,0.3,Tree,SpruceTree10m_Snowy,0.02,,,,,
135,Snow,0,30,0,0.3,Tree,SpruceTree15m_Snowy,0.026,,,,,
135,Snow,0,30,0,0.3,Tree,SpruceTree175m_Snowy,0.036,,,,,
135,Snow,0,30,0,0.3,Tree,SpruceTree225m_Snowy,0.054,,,,,
135,Snow,0,30,0,0.3,Tree,SpruceTree25m_Snowy,0.046,,,,,
135,Snow,0,20,0.3,0.5,Gatherable,HazelMediumBranchless,0.15,,,,,
135,Snow,0,20,0.3,0.5,Tree,SpruceTreeMedium4m_Snowy,0.102,,,,,
135,Snow,0,20,0.3,0.5,Tree,SpruceTree10m_Snowy,0.15,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Tree,SpruceTreeMedium4m,0.31,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Tree,SpruceTree10m,0.26,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Gatherable,HazelSmall,0.35,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Gatherable,HazelMedium,0.16,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Gatherable,HazelLarge,0.05,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Gatherable,Berries,0.25,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Gatherable,Mushrooms,0.13,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Gatherable,StonePile,0.05,,,,,
145,"Woods_grass,Rocks_grass",,,0,0.5,Gatherable,SingleStone,0.09,,,,,
142,Woods,,,,,Tree,SpruceTreeMedium4m,0.09,,,,,
142,Woods,,,,,Tree,SpruceTree10m,0.063,,,,,
142,Woods,,,,,Tree,SpruceTree15m,0.042,,,,,
142,Woods,,,,,Tree,SpruceTree175m,0.025,,,,,
142,Woods,,,,,Tree,SpruceTree225m,0.007,,,,,
142,Woods,,,,,Gatherable,HazelMedium,0.005,,,,,
142,Woods,,,,,Gatherable,HazelSmall,0.01,,,,,
142,Woods,,,,,Gatherable,Berries,0.15,,,,,
142,Woods,,,,,Gatherable,Mushrooms,0.07,,,,,
142,Woods,,,,,Gatherable,StonePile,0.06,,,,,
142,Woods,,,,,Gatherable,SingleStone,0.09,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Tree,OakTreeSapling,0.005,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Tree,OakTree25,0.01,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Tree,OakTree5,0.012,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Tree,OakTree75,0.018,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Tree,OakTree10,0.01,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Gatherable,HazelSmallSteppe,0.15,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Gatherable,HazelLargeSteppe,0.05,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Gatherable,HazelMediumSteppe,0.1,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Gatherable,Berries,0.1,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Gatherable,StonePile,0.05,,,,,
164,"Woods_needles,SteppeYellowGrass",,,,,Gatherable,SingleStone,0.1,,,,,
165,"SteppeYellowGrass,Grass",,,,,Tree,OakTree25,0.01,,,,,
165,"SteppeYellowGrass,Grass",,,,,Gatherable,HazelSmallSteppe,0.25,,,,,
165,"SteppeYellowGrass,Grass",,,,,Gatherable,HazelLargeSteppe,0.15,,,,,
165,"SteppeYellowGrass,Grass",,,,,Gatherable,HazelMediumSteppe,0.15,,,,,
165,"SteppeYellowGrass,Grass",,,,,Gatherable,WildCabbage,0.01,,,,,
165,"SteppeYellowGrass,Grass",,,,,Gatherable,WildFlax,0.03,,,,,
165,"SteppeYellowGrass,Grass",,,,,Gatherable,WildFlaxDesert,0.02,,,,,
165,"SteppeYellowGrass,Grass",,,,,Gatherable,Berries,0.25,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Tree,TreePalmTreeSapling,0.06,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Tree,TreePalmTree250,0.06,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Tree,TreePalmTree500,0.12,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Tree,TreePalmTree750,0.21,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Tree,TreePalmTree1000,0.1,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Static,FernKarst,0.15,,35,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Gatherable,HazelSmallKarst,0.15,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Gatherable,HazelMediumKarst,0.08,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Gatherable,HazelLargeKarst,0.04,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Gatherable,StonePile,0.018,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Gatherable,SingleStone,0.02,,,,,
192,"Woods_needles,Grass,Woods_grass",,,0,0.5,Gatherable,Berries,0.08,,,,,
190,Woods_needles,,,,,Tree,TreePalmTreeSapling,0.1,,,,,
190,Woods_needles,,,,,Tree,TreePalmTree250,0.15,,,,,
190,Woods_needles,,,,,Tree,TreePalmTree500,0.18,,,,,
190,Woods_needles,,,,,Static,FernKarst,0.2,,35,,,
190,Woods_needles,,,,,Gatherable,HazelSmallKarst,0.15,,,,,
190,Woods_needles,,,,,Gatherable,HazelMediumKarst,0.07,,,,,
190,Woods_needles,,,,,Gatherable,HazelLargeKarst,0.06,,,,,
190,Woods_needles,,,,,Gatherable,WildPumpkin,0.12,,,,,
190,Woods_needles,,,,,Gatherable,WildCabbage,0.1,,,,,
190,Woods_needles,,,,,Gatherable,StonePile,0.05,,,,,
190,Woods_needles,,,,,Gatherable,SingleStone,0.1,,,,,
"191,193",Grass,,,,,Static,FernKarst,0.03,,35,,,
"191,193",Grass,,,,,Gatherable,HazelSmallKarst,0.09,,,,,
"191,193",Grass,,,,,Gatherable,HazelLargeKarst,0.09,,,,,
"191,193",Grass,,,,,Gatherable,HazelMediumKarst,0.12,,,,,
"191,193",Grass,,,,,Gatherable,WildFlax,0.03,,,,,
"191,193",Grass,,,,,Gatherable,Berries,0.1,,,,,
"191,193",Grass,,,,,Gatherable,StonePile,0.004,,,,,
"191,193",Grass,,,,,Gatherable,SingleStone,0.004,,,,,
"191,193",Grass,,,,,Gatherable,Roots,0.006,,,,,
194,"Grass,Woods_needles",,,,,Static,FernKarst,0.03,,35,,,
194,"Grass,Woods_needles",,,,,Gatherable,HazelSmallKarst,0.09,,,,,
194,"Grass,Woods_needles",,,,,Gatherable,HazelMediumKarst,0.15,,,,,
194,"Grass,Woods_needles",,,,,Gatherable,HazelMediumBranchless,0.06,,,,,
194,"Grass,Woods_needles",,,,,Gatherable,DriedBush,0.18,,,,,
194,"Grass,Woods_needles",,,,,Gatherable,SandStoneLarge,0.004,,,,,
194,"Grass,Woods_needles",,,,,Gatherable,SandStoneSmall,0.004,,,,,
194,"Grass,Woods_needles",,,,,Gatherable,Opuntia,0.04,,,,,
175,SandGrassGreen,,,,,Tree,TreePalmTree250,0.17,,,,,
175,SandGrassGreen,,,,,Tree,TreePalmTree500,0.28,,,,,
175,SandGrassGreen,,,,,Tree,TreePalmTree750,0.28,,,,,
175,SandGrassGreen,,,,,Tree,TreePalmTree1000,0.17,,,,,
175,SandGrassGreen,,,,,Gatherable,WildFlaxDesert,0.44,,,,,
175,SandGrassGreen,,,,,Static,FernKarst,0.39,,35,,,
175,SandGrassGreen,,,,,Gatherable,HazelSmallKarst,0.22,,,,,
175,SandGrassGreen,,,,,Gatherable,HazelMediumKarst,0.28,,,,,
175,SandGrassGreen,,,,,Gatherable,Berries,0.19,,,,,
175,SandGrassGreen,,,,,Gatherable,Opuntia,0.09,,,,,
175,SandGrassGreen,,,,,Gatherable,SandStoneSmall,0.11,,,,,
175,SandGrassGreen,,,,,Gatherable,SandStoneLarge,0.06,,,,,
245,"Grass,SteppeYellowGrass,SandGrass,SandGrassGreen,Woods,Woods_needles,Woods_grass,Sand,Sandstone,Stone,Limestone,Rocks_grass",0,50,,,Gatherable,PieceSilver,0.25,,,,,
245,Snow,0,50,,,Gatherable,PieceSilver,0.43,,,,,
244,"Snow,Grass,SteppeYellowGrass,SandGrass,SandGrassGreen,Woods,Woods_needles,Woods_grass,Sand,Sandstone,Stone,Limestone,Rocks_grass",0,50,,,Gatherable,PieceGold,0.4,,,,,
244,Snow,0,50,,,Gatherable,PieceGold,0.6,,,,,
241,"Snow,Grass,SteppeYellowGrass,SandGrass,SandGrassGreen,Woods,Woods_needles,Woods_grass,IronOre_PoorYield,Sand,Sandstone,Stone,Limestone,Rocks_grass",0,35,,,Gatherable,PieceIron,0.25,,,,,
240,Snow,0,35,,,Gatherable,PieceIron,0.5,,,,,
242,"Snow,Grass,SteppeYellowGrass,SandGrass,SandGrassGreen,Woods,Woods_needles,Woods_grass,Sand,Sandstone,Stone,Limestone,Rocks_grass,CopperOre",0,35,,,Gatherable,PieceCopper,0.25,,,,,
243,"Snow,Grass,SteppeYellowGrass,SandGrass,SandGrassGreen,Woods,Woods_needles,Woods_grass,Sand,Sandstone,Stone,Limestone,Rocks_grass,TinOre",0,35,,,Gatherable,PieceTin,0.25,,,,,
