Biomes,Materials,Slope Min,Slope Max,Height Min,Height Max,Type,Subtype,Density,MaxRoll,Latitude min,Latitude Max,Longitude Min,Longitude Max
140,Woods_grass,,,,,Tree,SpruceTreeMedium4m,0.012,,,,,
140,Woods_grass,,,,,Gatherable,HazelSmall,0.036,,,,,
140,Woods_grass,,,,,Gatherable,Herbs,0.016,,,,,
140,Woods_grass,,,,,Gatherable,Mushrooms,0.004,,,,,
140,Woods_grass,,,,,Gatherable,Berries,0.072,,,,,
140,Woods_grass,,,,,Gatherable,StonePile,0.006,,,,,
140,Woods_grass,,,,,Gatherable,SingleStone,0.015,,,,,
140,Woods_grass,,,,,Gatherable,Roots,0.008,,,,,
,Rocks_grass,,,,,Gatherable,HazelMediumBranchless,0.002,,,,,
,Rocks_grass,,,,,Gatherable,HazelSmall,0.03,,,,,
,Rocks_grass,,,,,Gatherable,Berries,0.04,,,,,
,Rocks_grass,,,,,Gatherable,Herbs,0.05,,,,,
,Rocks_grass,,,,,Gatherable,StonePile,0.3,,,,,
,Rocks_grass,,,,,Gatherable,SingleStone,0.5,,,,,
,Rocks_grass,,,,,Gatherable,StoneLarge,0.05,,,,,
148,,,,,,Static,Fern,0.144,,35,,,
148,,,,,,Gatherable,Mushrooms,0.03,,,,,
148,,,,,,Gatherable,StonePile,0.024,,,,,
148,,,,,,Gatherable,SingleStone,0.072,,,,,
"142,145",Snow,,,0.3,0.4,Tree,SpruceTreeMedium4m,0.192,,,,,
"142,145",Snow,,,0.3,0.4,Tree,SpruceTreeMedium4m_Snowy,0.08,,,,,
"142,145",Snow,,,0.3,0.4,Tree,SpruceTree10m,0.192,,,,,
"142,145",Snow,,,0.3,0.4,Gatherable,HazelMediumBranchless,0.006,,,,,
"142,145",Snow,,,0.3,0.4,Gatherable,Berries,0.03,,,,,
"142,145",Snow,,,0.3,0.4,Gatherable,Mushrooms,0.03,,,,,
"142,145",Snow,,,0.3,0.4,Gatherable,StoneLargeSnowy,0.054,,,,,
"142,145",Snow,,,0.4,0.7,Gatherable,HazelLargeBranchless,0.108,,,,,
"142,145",Snow,,,0.4,0.7,Gatherable,HazelMediumBranchless,0.144,,,,,
"142,145",Snow,,,0.4,0.7,Tree,SpruceTreeMedium4m_Snowy,0.144,,,,,
"142,145",Snow,,,0.4,0.7,Tree,SpruceTree10m_Snowy,0.17,,,,,
"142,145",Snow,,,0.4,0.7,Tree,SpruceTree15m_Snowy,0.03,,,,,
150,Woods,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.012,,,35,75,
150,Woods,0,35,0,0.4,Tree,SpruceTree10m,0.015,,,35,75,
150,Woods,0,35,0,0.4,Tree,SpruceTree15m,0.032,,,35,75,
150,Woods,0,35,0,0.4,Tree,SpruceTree175m,0.026,,,35,75,
150,Woods,0,35,0,0.4,Tree,SpruceTree225m,0.013,,,35,75,
150,Woods,0,35,0,0.4,Tree,SpruceTree25m,0.005,,,35,75,
150,Woods,0,35,0,0.4,Static,Fern,0.12,,35,35,75,
150,Woods,0,35,0,0.4,Gatherable,HazelLarge,0.025,,,35,75,
150,Woods,0,35,0,0.4,Gatherable,HazelMedium,0.030,,,35,75,
150,Woods,0,35,0,0.4,Gatherable,HazelSmall,0.055,,,35,75,
150,Woods,0,35,0,0.4,Gatherable,Berries,0.03,,,35,75,
150,Woods,0,35,0,0.4,Gatherable,Mushrooms,0.024,,,35,75,
150,Woods,0,35,0,0.4,Gatherable,StonePile,0.03,,,35,75,
150,Woods,0,35,0,0.4,Gatherable,SingleStone,0.045,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.035,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree10m,0.034,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree15m,0.017,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree175m,0.011,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree225m,0.001,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Static,Fern,0.15,,35,35,75,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelLarge,0.031,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelMedium,0.033,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelSmall,0.2,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Berries,0.05,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Mushrooms,0.006,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,StonePile,0.024,,,35,75,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,SingleStone,0.036,,,35,75,
150,Woods,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.021,,,5,35,
150,Woods,0,35,0,0.4,Tree,SpruceTree10m,0.029,,,5,35,
150,Woods,0,35,0,0.4,Tree,SpruceTree15m,0.049,,,5,35,
150,Woods,0,35,0,0.4,Tree,SpruceTree175m,0.029,,,5,35,
150,Woods,0,35,0,0.4,Tree,PineTree22m,0.01,,,5,35,
150,Woods,0,35,0,0.4,Tree,SpruceTree225m,0.007,,,5,35,
150,Woods,0,35,0,0.4,Static,Fern,0.25,,35,5,35,
150,Woods,0,35,0,0.4,Gatherable,HazelLarge,0.02,,,5,35,
150,Woods,0,35,0,0.4,Gatherable,HazelMedium,0.04,,,5,35,
150,Woods,0,35,0,0.4,Gatherable,HazelSmall,0.05,,,5,35,
150,Woods,0,35,0,0.4,Gatherable,Berries,0.027,,,5,35,
150,Woods,0,35,0,0.4,Gatherable,Mushrooms,0.012,,,5,35,
150,Woods,0,35,0,0.4,Gatherable,StonePile,0.027,,,5,35,
150,Woods,0,35,0,0.4,Gatherable,SingleStone,0.042,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.03,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree10m,0.015,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree15m,0.01,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree25,0.007,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree5,0.01,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree75,0.016,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree10,0.01,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Static,Fern,0.15,,35,5,35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelLarge,0.031,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelMedium,0.033,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelSmall,0.2,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Berries,0.05,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Mushrooms,0.006,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,StonePile,0.024,,,5,35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,SingleStone,0.036,,,5,35,
150,Woods,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.012,,,-75,-35,
